docname,topic,proportion
new_chat_customer.txt:0,000,1.0
new_chat_customer.txt:11,000,1.0
new_chat_customer.txt:1,000,1.0
new_chat_customer.txt:7,000,1.0
new_chat_customer.txt:8,001,1.0
new_chat_customer.txt:9,002,1.0
new_chat_customer.txt:3,000,1.0
new_chat_customer.txt:13,000,1.0
new_chat_customer.txt:12,000,1.0
new_chat_customer.txt:6,000,1.0
new_chat_customer.txt:10,000,1.0
new_chat_customer.txt:5,001,1.0
new_chat_customer.txt:4,000,1.0
new_chat_customer.txt:2,001,1.0

TestResults.txt:15,003,1.0
TestResults.txt:6,003,1.0
TestResults.txt:19,004,1.0
TestResults.txt:10,001,1.0
TestResults.txt:27,003,1.0
TestResults.txt:18,003,1.0
TestResults.txt:3,000,1.0
TestResults.txt:9,004,1.0
TestResults.txt:17,002,1.0
TestResults.txt:22,002,1.0
TestResults.txt:1,004,1.0
TestResults.txt:16,003,1.0
